time/total_timesteps,rollout/ep_rew_mean,time/fps,time/time_elapsed,rollout/ep_len_mean,time/iterations,train/n_updates,train/loss,train/entropy_loss,train/approx_kl,train/clip_fraction,train/value_loss,train/learning_rate,train/explained_variance,train/clip_range,train/policy_gradient_loss
2048,-41.9670668,386,5,400.0,1,,,,,,,,,,
4096,-573.4824495999999,295,13,400.0,2,10,55.573272705078125,-0.6862858580425382,0.009275587,0.142333984375,91.02422728538514,0.0003,0.006872057914733887,0.2,-0.01755469916097354
6144,-606.6586036,312,19,400.0,3,20,4930.58935546875,-0.6825859969481826,0.00019162893,0.0,10024.3982711792,0.0003,0.02077317237854004,0.2,-0.0007327950035687536
8192,-536.90521,329,24,400.0,4,30,1658.1988525390625,-0.6837725501507521,3.906354e-05,0.0,4279.869969558716,0.0003,0.06398111581802368,0.2,-4.0255148633150384e-05
10240,-606.5882122799999,341,30,400.0,5,40,662.006591796875,-0.6855322504416108,0.00067666214,0.0,1156.217104625702,0.0003,0.12734413146972656,0.2,-0.0009450672390812542
12288,-546.5673145,338,36,400.0,6,50,1635.591064453125,-0.6890917088836431,0.00049334974,0.0,6140.355714035034,0.0003,0.10463649034500122,0.2,-0.0006697160431940574
14336,-467.9506928,353,40,400.0,7,60,565.6022338867188,-0.687421677261591,0.002534685,0.0,783.8493355512619,0.0003,0.14995867013931274,0.2,-0.0006820341615821235
16384,-565.3324499999999,364,44,400.0,8,70,47.44312286376953,-0.6703498777002096,0.0064039584,0.053662109375,76.51809148788452,0.0003,0.3497362732887268,0.2,-0.007801974467292893
18432,-516.6834724130433,366,50,400.0,9,80,4840.166015625,-0.665334701910615,0.0017873019,0.0,8960.212753295898,0.0003,0.12878739833831787,0.2,-0.0014152945717796684
20480,-463.3543910980392,369,55,400.0,10,90,248.12799072265625,-0.6721557645127177,0.00017456447,0.0,1277.9077413082123,0.0003,0.3708609342575073,0.2,-0.0002632140880450606
22528,-436.3839233035714,373,60,400.0,11,100,56.252952575683594,-0.65482711289078,0.004667338,0.03671875,84.71803315877915,0.0003,0.13984179496765137,0.2,-0.00311745859507937
24576,-416.5215478032787,374,65,400.0,12,110,527.193359375,-0.6558210020884871,0.0019071199,0.0140625,876.4848546981812,0.0003,0.44468772411346436,0.2,-0.0013404194614849985
26624,-394.0598049848485,379,70,400.0,13,120,384.6344909667969,-0.6667322114109993,0.0026545627,0.015478515625,1154.4280749797822,0.0003,0.4354575276374817,0.2,-0.0013944197344244458
28672,-366.48604076056336,384,74,400.0,14,130,426.33331298828125,-0.6679374301806092,0.0011782835,0.013720703125,613.0902361631394,0.0003,0.547459751367569,0.2,-0.0010164604100282304
30720,-338.1367874210526,387,79,400.0,15,140,34.36958312988281,-0.6172330973669886,0.012945573,0.10732421875,63.3187818646431,0.0003,0.3742074966430664,0.2,-0.011047435872751522
32768,-406.53701441975306,390,83,400.0,16,150,39.69215393066406,-0.5590606018900871,0.011167317,0.093408203125,79.71406420469285,0.0003,0.21066570281982422,0.2,-0.009287447767565026
34816,-369.981450183908,395,87,400.0,17,160,6210.16943359375,-0.5900690075010061,0.005246886,0.05625,16641.906747436522,0.0003,0.21633005142211914,0.2,-0.004028737457701936
36864,-348.3405667173913,400,91,400.0,18,170,42.418701171875,-0.5675069520249962,6.2044885e-05,0.0,113.55518598556519,0.0003,0.26519107818603516,0.2,-3.994243816123344e-05
38912,-330.32707985567015,404,96,400.0,19,180,58.49195098876953,-0.6002475185319781,0.005085787,0.05146484375,342.72959821224214,0.0003,0.7000404894351959,0.2,-0.005751921327464516
40960,-319.761701,407,100,400.0,20,190,67.4540023803711,-0.5972109753638506,0.0018636349,0.001025390625,169.60514293909074,0.0003,0.8518919497728348,0.2,-0.0006227535690413788
43008,-361.1960490199999,410,104,400.0,21,200,59.506690979003906,-0.6109695300459862,0.008486767,0.081640625,117.14992983341217,0.0003,0.8761897683143616,0.2,-0.007467975771578495
45056,-340.11016592,413,108,400.0,22,210,2963.3583984375,-0.6312900146469473,0.0042645605,0.03212890625,7079.664753723145,0.0003,0.4542989134788513,0.2,-0.0071193586598383264
47104,-306.50297509000006,415,113,400.0,23,220,2819.97412109375,-0.6323297463357449,0.0031663263,0.0029296875,4421.406406402588,0.0003,0.5643522441387177,0.2,-0.0006562842652783729
49152,-277.90550228000006,417,117,400.0,24,230,85.65633392333984,-0.6237148089334369,0.0047547137,0.061865234375,182.834468460083,0.0003,0.7516165524721146,0.2,-0.0044917145860381424
51200,-227.59046629999997,418,122,400.0,25,240,40.05120086669922,-0.5859529411420226,0.0015038138,0.0095703125,71.28010649681092,0.0003,0.06920862197875977,0.2,-8.016024294192903e-05
53248,-273.18821311,419,127,400.0,26,250,31.281965255737305,-0.5433287531137466,0.0071537276,0.049755859375,57.59166922569275,0.0003,0.40179967880249023,0.2,-0.0015104311205504928
55296,-227.97625218000002,420,131,400.0,27,260,1184.2635498046875,-0.5877302223816514,0.0038215325,0.01240234375,5011.381365203857,0.0003,0.5435046553611755,0.2,-0.002153762736998033
57344,-195.9067781,421,136,400.0,28,270,99.48390197753906,-0.5351862788200379,0.0047684144,0.0236328125,163.49005546569825,0.0003,0.6104935109615326,0.2,-0.001537533916416578
59392,-190.34926099999996,422,140,400.0,29,280,213.01881408691406,-0.5506131535395979,0.0027122616,0.014453125,318.7070430755615,0.0003,0.8621014505624771,0.2,-0.004171506564307492
61440,-183.25630171999998,424,144,400.0,30,290,34.83861541748047,-0.46579895159229634,0.008072954,0.065673828125,69.57184983491898,0.0003,0.2561856508255005,0.2,-0.005095182143850252
63488,-159.79768045999998,425,149,400.0,31,300,70.64347839355469,-0.44749707663431765,0.0027445776,0.009228515625,84.16328190565109,0.0003,0.6067196428775787,0.2,-0.0012884790186944884
65536,-163.61108377,426,153,400.0,32,310,64.04214477539062,-0.46434158384799956,0.0032721732,0.024365234375,164.06022853851317,0.0003,0.8662377148866653,0.2,-0.0022570081702724563
67584,-149.42241314000003,427,158,400.0,33,320,212.4988250732422,-0.49956101588904855,0.0013011256,0.011669921875,350.40450568199157,0.0003,0.8603162914514542,0.2,-0.0002027846305281855
69632,-144.79693140000003,428,162,400.0,34,330,77.86763000488281,-0.5001158875413239,0.0033944733,0.03818359375,184.8068747997284,0.0003,0.8353368043899536,0.2,-0.004426686056831386
71680,-82.18610472000002,428,167,400.0,35,340,70.85111236572266,-0.4339507552795112,0.0022546698,0.01904296875,108.35409426689148,0.0003,0.6090388298034668,0.2,-0.00024707373522687704
73728,-72.29594396000002,429,171,400.0,36,350,51.67008590698242,-0.49390995474532245,0.002449661,0.0138671875,136.2337515592575,0.0003,0.7365418970584869,0.2,-0.0004687020322307944
75776,-65.36291567,430,176,400.0,37,360,42.942691802978516,-0.4693414129316807,0.0014114432,0.0119140625,86.83168148994446,0.0003,0.7112185955047607,0.2,-0.00010886676827794872
77824,-66.46604119,429,181,400.0,38,370,47.714599609375,-0.4729673847556114,0.0039993683,0.02734375,98.4628756761551,0.0003,0.6079819798469543,0.2,-0.0032537866019993087
79872,-78.10922300000001,423,188,400.0,39,380,47.58675003051758,-0.4921646830625832,0.0037234116,0.015576171875,74.47170149087906,0.0003,0.6460723876953125,0.2,5.0889024714706464e-05
81920,-72.66450133000001,419,195,400.0,40,390,289.8492126464844,-0.49372245678678156,0.0016476135,0.0109375,694.5953258991242,0.0003,0.6797226965427399,0.2,-0.004010449290217366
83968,-27.77984465,418,200,400.0,41,400,72.0045394897461,-0.4934047646820545,0.0016741131,0.006787109375,158.95225994586946,0.0003,0.7862432301044464,0.2,0.000574729879735969
86016,18.769102160000003,419,205,400.0,42,410,73.73110961914062,-0.4876696731895208,0.005333622,0.015185546875,143.89801630973815,0.0003,0.841119796037674,0.2,-0.000435236246266868
88064,22.28406448,420,209,400.0,43,420,38.56361389160156,-0.41764309545978906,0.0047797495,0.032373046875,87.23708726167679,0.0003,0.2874097228050232,0.2,-0.002637476709787734
90112,1.4097117099999983,421,213,400.0,44,430,59.7750244140625,-0.444348921533674,0.0046071624,0.013818359375,99.67482421398162,0.0003,0.6452158093452454,0.2,0.0001292305358219892
92160,27.854471940000018,421,218,400.0,45,440,479.3796081542969,-0.4897085292264819,0.0055389428,0.009130859375,1068.0366192817687,0.0003,0.6660310924053192,0.2,0.00022327426850097254
94208,36.79002432000001,422,223,400.0,46,450,134.51327514648438,-0.48981041507795453,0.003614727,0.05,376.7431922912598,0.0003,0.8621367961168289,0.2,-0.0053606095898430794
96256,34.51150454999999,422,227,400.0,47,460,149.78858947753906,-0.46507887905463574,0.0012314515,0.014697265625,244.29186329841613,0.0003,0.8916691914200783,0.2,-0.0006750949425622821
98304,31.933348390000003,422,232,400.0,48,470,322.14068603515625,-0.43454137407243254,0.00339094,0.026953125,747.9194347620011,0.0003,0.7943191230297089,0.2,-0.0039072490413673226
100352,29.312710909999996,423,236,400.0,49,480,237.01707458496094,-0.4591829339973629,0.0009588243,0.01005859375,257.4867257356644,0.0003,0.7900765687227249,0.2,-0.0001499398669693619
102400,36.818017819999994,424,241,400.0,50,490,59.418949127197266,-0.40791803412139416,0.0017026976,0.002587890625,105.7626448392868,0.0003,0.7482982575893402,0.2,-0.00025624400295782835
104448,42.521395739999996,425,245,400.0,51,500,37.46906661987305,-0.3588702232576907,0.0057425285,0.01630859375,97.38515430688858,0.0003,0.31071192026138306,0.2,-0.0011429798629251308
106496,43.22986309,425,250,400.0,52,510,35.10110855102539,-0.35540116410702466,0.0007453984,0.010009765625,72.63512227535247,0.0003,0.6560286581516266,0.2,-0.00017575856181792915
108544,11.169187940000002,426,254,400.0,53,520,89.25733184814453,-0.4148520020768046,0.0049378993,0.02626953125,145.46354882717134,0.0003,0.7036604881286621,0.2,-0.0018677425454370678
110592,13.946697349999992,426,259,400.0,54,530,1020.7278442382812,-0.3959025791846216,0.0011111243,0.007470703125,3800.9268941879272,0.0003,0.518118679523468,0.2,0.0004670301845180802
112640,-26.784249860000003,426,263,400.0,55,540,39.6519775390625,-0.3818600703962147,0.00043370132,0.005908203125,97.03263521194458,0.0003,0.4105699062347412,0.2,1.3514589227270335e-05
114688,-23.758232040000003,427,268,400.0,56,550,3519.56396484375,-0.3624411476776004,0.0022824104,0.025390625,7839.33638305664,0.0003,0.5682469010353088,0.2,-0.00040042151231318713
116736,-20.397403810000007,427,273,400.0,57,560,52.376529693603516,-0.31540930913761256,0.0031838866,0.027001953125,89.39515742063523,0.0003,0.3708856701850891,0.2,-0.002134513064083876
118784,-27.671984140000013,427,277,400.0,58,570,56.75046157836914,-0.3504871329292655,0.0016961733,0.004541015625,94.4689437866211,0.0003,0.6469569504261017,0.2,-0.00016944944072747604
120832,-9.566243739999999,427,282,400.0,59,580,128.01388549804688,-0.3680088280700147,0.0037676163,0.017236328125,513.4328194618225,0.0003,0.8239173144102097,0.2,-0.004727166878728895
122880,2.21783543,427,287,400.0,60,590,71.84489440917969,-0.36404649512842296,0.0033565653,0.012451171875,112.6957643866539,0.0003,0.5687060058116913,0.2,0.00015084637416293845
124928,-2.667531129999994,426,292,400.0,61,600,53.060203552246094,-0.33411564249545334,0.000711398,0.0072265625,91.24435966014862,0.0003,0.4613564610481262,0.2,-8.237645524786786e-05
126976,-3.521063039999999,427,297,400.0,62,610,84.472412109375,-0.3866795043461025,0.0031649917,0.008984375,158.42347061634064,0.0003,0.8043098896741867,0.2,-0.0007240314931550529
129024,-12.972629470000017,427,301,400.0,63,620,47.27333450317383,-0.35287487469613554,0.0020972267,0.0115234375,154.2690542936325,0.0003,0.8163449317216873,0.2,0.0002806434415106196
131072,0.5257986699999868,427,306,400.0,64,630,114.62950897216797,-0.3787457234226167,0.0011240595,0.013330078125,183.9640516757965,0.0003,0.8187034279108047,0.2,0.00012223582525621167
133120,18.887858049999984,427,311,400.0,65,640,337.8339538574219,-0.3726295377127826,0.0036818646,0.013330078125,722.7125978946685,0.0003,0.7005788683891296,0.2,0.0003703036345541477
135168,20.160694539999984,426,316,400.0,66,650,48.312416076660156,-0.323831944540143,0.0063281497,0.014599609375,110.67867507934571,0.0003,0.403748095035553,0.2,-0.0004252926810295321
137216,36.34052749000001,427,321,400.0,67,660,74.80474090576172,-0.3269650218077004,0.0006517612,0.005126953125,92.45166006088257,0.0003,0.5173214375972748,0.2,-0.0003343603137182072
139264,27.127853839999993,427,325,400.0,68,670,50.203670501708984,-0.3356445781886578,0.0035752766,0.012255859375,95.567123067379,0.0003,0.5677860677242279,0.2,0.00011538593244040385
141312,29.64204499000001,427,330,400.0,69,680,115.7073974609375,-0.3820667460560799,0.0016394823,0.00830078125,326.32530107498167,0.0003,0.8454113900661469,0.2,-0.0018352791434153915
143360,30.191497450000007,427,335,400.0,70,690,52.48589324951172,-0.28467340748757125,0.0014628144,0.00078125,99.65889166593551,0.0003,0.42932844161987305,0.2,-8.779280033195391e-05
145408,34.50952915,428,339,400.0,71,700,27.2280330657959,-0.2898190864827484,0.0011177552,0.004833984375,82.76000720262527,0.0003,0.6164529025554657,0.2,9.426974356756546e-05
147456,32.36840739999999,428,344,400.0,72,710,42.218101501464844,-0.30702856201678513,0.0024309233,0.02265625,108.76335566043853,0.0003,0.48144906759262085,0.2,-0.003168598441698123
149504,54.35996787999999,428,349,400.0,73,720,45.32684326171875,-0.3478312757797539,0.0030626957,0.042333984375,146.74751892089844,0.0003,0.8807778805494308,0.2,-0.003928742851712741
151552,46.50195335,427,354,400.0,74,730,215.2097930908203,-0.38954791594296695,0.003149488,0.011474609375,402.794248008728,0.0003,0.7769002318382263,0.2,0.00022573366586584598
153600,84.50231395000003,428,358,400.0,75,740,124.75420379638672,-0.3527240477502346,0.002727314,0.03359375,183.14608883857727,0.0003,0.9036458283662796,0.2,-0.0010769576634629629
155648,81.72787029,428,363,400.0,76,750,61.185813903808594,-0.3799980838783085,0.00418385,0.036328125,106.09722446203232,0.0003,0.6903451979160309,0.2,-0.0027376296566217206
157696,68.64749214,428,367,400.0,77,760,51.27957534790039,-0.3065592465456575,0.0013980872,0.009912109375,163.2856778860092,0.0003,0.8434130251407623,0.2,0.0002314826058864128
159744,69.15031162,428,372,400.0,78,770,123.99427795410156,-0.34216239415109156,0.0020801984,0.0119140625,336.4544760227203,0.0003,0.8266208171844482,0.2,-0.001954262887011282
161792,56.351908460000004,429,377,400.0,79,780,82.7635726928711,-0.3795714943669736,0.0020553423,0.0072265625,236.69251503944398,0.0003,0.8170760571956635,0.2,0.00026580754201859235
163840,54.83953585999998,428,382,400.0,80,790,239.14248657226562,-0.33867449713870884,0.0020077447,0.021484375,291.29654095172884,0.0003,0.885570265352726,0.2,-0.003336000582203269
165888,51.24537560999999,428,386,400.0,81,800,66.25875854492188,-0.37628489853814245,0.0029654717,0.01328125,172.756245803833,0.0003,0.8202984631061554,0.2,-0.0007909620951977558
167936,61.11110806999999,429,391,400.0,82,810,86.98464965820312,-0.39496690351516006,0.0035879852,0.011376953125,191.66258399486543,0.0003,0.6881808340549469,0.2,-0.0004320206033298746
169984,77.36040996,429,396,400.0,83,820,46.39067459106445,-0.3452688312157989,0.0008535358,0.016845703125,92.52685700654983,0.0003,0.39301007986068726,0.2,0.0009049745814991184
172032,77.61393317,429,400,400.0,84,830,64.80342864990234,-0.3585580438375473,0.005117293,0.04873046875,119.62908234596253,0.0003,0.7650852650403976,0.2,-0.0019459914561593904
174080,74.91346621,429,405,400.0,85,840,35.90468215942383,-0.33193926913663746,0.0015038499,0.00654296875,88.12226728200912,0.0003,0.4840822219848633,0.2,-0.0006292429061431903
176128,37.7839387,428,410,400.0,86,850,40.400535583496094,-0.37313924320042136,0.0005039936,0.007568359375,94.0480139374733,0.0003,0.5365758836269379,0.2,-0.00031007840952952393
178176,40.55148996999999,428,415,400.0,87,860,913.5484619140625,-0.3871695733629167,0.0023363857,0.017236328125,2577.3875476837156,0.0003,0.5110389292240143,0.2,0.0016237241463386454
180224,3.282711169999993,428,420,400.0,88,870,61.13758850097656,-0.319821140402928,0.00070902926,0.00615234375,95.00823696851731,0.0003,0.5348774790763855,0.2,-0.0006451145913160871
182272,2.663746309999992,429,424,400.0,89,880,1498.4359130859375,-0.3395830943249166,0.006783042,0.038330078125,6460.0995603561405,0.0003,0.6634950339794159,0.2,-0.007428030129813123
184320,0.24091651999998703,428,429,400.0,90,890,55.45998001098633,-0.32799775218591093,0.0014479271,0.010986328125,115.80705502033234,0.0003,0.48535990715026855,0.2,-0.00016907398457988165
186368,-1.1182510900000084,429,434,400.0,91,900,45.06237030029297,-0.3404965813737363,0.002116209,0.01123046875,102.53457443714142,0.0003,0.5081093907356262,0.2,-3.512190014589578e-05
188416,-16.729234060000003,429,438,400.0,92,910,92.20032501220703,-0.3012095098849386,0.00015486318,0.001708984375,278.91689066886903,0.0003,0.6354670226573944,0.2,-0.00047515597398160023
190464,-54.56585920999999,429,443,400.0,93,920,519.19482421875,-0.3119009473361075,0.0025443258,0.02734375,1597.998061466217,0.0003,0.8443243652582169,0.2,0.003148049880110193
192512,-49.38356343999999,430,447,400.0,94,930,2031.8621826171875,-0.31700243866071104,0.0010325493,0.039501953125,4208.945178222656,0.0003,0.8230094760656357,0.2,-0.0035039506299654024
194560,-82.42426078999999,430,452,400.0,95,940,120.99569702148438,-0.2914771330077201,0.0005239949,0.00048828125,308.6617652654648,0.0003,0.45915931463241577,0.2,-0.00022362522140610962
196608,-85.81179503999999,429,457,400.0,96,950,1186.1580810546875,-0.3256417504511774,0.0019234099,0.022998046875,3444.4830490112304,0.0003,0.7575767338275909,0.2,-0.0019971189758507535
198656,-72.60334686000002,429,462,400.0,97,960,79.815185546875,-0.279726937180385,0.00038650073,0.001123046875,223.54458756446837,0.0003,0.777662456035614,0.2,3.3816196082625535e-05
200704,-60.042038690000005,429,466,400.0,98,970,54.79855728149414,-0.3122382086701691,0.0025658235,0.009326171875,116.88758141994477,0.0003,0.5122312307357788,0.2,-0.0017186835611937568
